Point ID,Points_0,Points_1,Points_2,Points_Magnitude,p,u_0,u_1,u_2,u_Magnitude
43,0.109379,0.0170194,1e-09,0.110695,-78.5016,1.89379e-05,1.42608e-05,-4.25268e-13,2.37069e-05
44,0.0196383,0.10764,1e-09,0.109417,-29.9785,0.000114979,8.9739e-05,-2.67013e-13,0.000145854
45,1.10342e-09,0.1,1e-09,0.1,-28.4755,0.000112842,9.64155e-05,-2.67013e-13,0.000148423
46,0.1,1.05718e-09,1e-09,0.1,-77.7729,1.18594e-12,8.5863e-13,-4.79635e-13,1.5407e-12
47,0.0510602,0.137947,1e-09,0.147094,-33.8089,0.000128077,9.92502e-05,-2.32041e-13,0.000162032
48,0.0699832,0.133883,1e-09,0.15107,-43.8399,0.000123526,0.000100056,-2.32041e-13,0.000158965
49,0.0835941,0.14842,1e-09,0.170342,-48.0777,0.000127986,0.000113502,-2.32041e-13,0.000171064
50,0.0886195,0.129066,1e-09,0.156561,-53.8498,0.000118262,0.000101875,-2.32041e-13,0.000156092
51,0.033215,0.142982,1e-09,0.146789,-24.5273,0.000132239,0.00010103,-3.06882e-13,0.000166415
52,0.107936,0.124622,1e-09,0.164866,-62.241,0.000112775,0.000104776,-3.28241e-13,0.000153936
53,0.102474,0.143913,1e-09,0.176669,-57.8284,0.000123099,0.00011802,-3.28241e-13,0.000170534
54,0.10029,0.0908662,1e-09,0.135332,-65.272,9.09173e-05,7.49456e-05,-4.30241e-13,0.000117825
55,0.113856,0.105539,1e-09,0.155248,-67.3067,9.97633e-05,9.06708e-05,-4.30241e-13,0.000134811
56,0.106169,0.0718194,1e-09,0.128179,-70.7544,7.41644e-05,6.00348e-05,-3.76384e-13,9.54177e-05
57,0.12543,0.0676249,1e-09,0.142499,-76.9804,6.8606e-05,5.9827e-05,-3.76384e-13,9.10278e-05
58,0.131718,0.0491409,1e-09,0.140586,-80.7561,5.10494e-05,4.42855e-05,-4.47785e-13,6.75814e-05
59,0.138897,0.0307085,1e-09,0.142251,-84.4603,3.26089e-05,2.8101e-05,-4.47785e-13,4.30466e-05
60,0.150731,0.0447022,1e-09,0.15722,-86.2879,4.55501e-05,4.28066e-05,-4.47785e-13,6.25077e-05
61,0.144691,0.0632402,1e-09,0.157908,-82.6713,6.29124e-05,5.9637e-05,-4.47785e-13,8.66864e-05
62,0.129608,0.0170236,1e-09,0.130721,-82.8636,1.86869e-05,1.50437e-05,-5.11107e-13,2.39899e-05
63,0.144993,0.0145569,1e-09,0.145722,-86.7115,1.56096e-05,1.36476e-05,-5.11107e-13,2.07345e-05
64,0.0182836,0.130008,1e-09,0.131288,-21.8594,0.000127957,9.83268e-05,-1.49057e-13,0.000161373
65,0,0.12,1e-09,0.12,-21.3695,0.00012509,0.000103086,-1.49057e-13,0.000162093
